,CID,Z,Z_ERR,SN_RA,SN_DEC,GAL_RA,GAL_DEC,HOST_OBJID,X0,X0_ERR,X1,X1_ERR,COLOR,COLOR_ERR,C01,C00,C11,C22,C02,C12,MU,MU_MB,MU_ERR,u,u uncert,g,g uncert,r,r uncert,i,i uncert,z,z uncert,fsps chi2,fsps const,logzsol,tau,sf_start,dust2,age,age uncert,HR
20,12199,0.3104040026664734,1.650000012887176e-05,-10.835000038146973,-1.1581900119781494,-10.834036827087402,-1.1584570407867432,1237663275775557866,3.485409979475662e-05,3.6457199712458532e-06,0.963047981262207,1.8835200071334839,-0.04206269979476929,0.0864505022764206,-5.88729017181322e-06,1.3291300351991886e-11,3.5476601123809814,0.007473680190742016,-1.9188999544894614e-07,0.10501399636268616,41.08369827270508,41.11625671386719,0.22626399993896484,24.23228117270229,0.6294144294014741,23.715769746416925,0.09217304826891799,22.537416660547223,0.03797600693381485,22.106929840375855,0.03412313786382693,21.9301753140724,0.13151968300752706,1.297740287693131,-24.56793212890625,0.2,2.0,0.0,0.0,8.383353331208097,0.13878957088119848,0.16020698408886602
21,12213,0.3506599962711334,3.3200001780642197e-05,-14.414999961853027,-0.6411470174789429,-14.41591739654541,-0.6463599801063538,1237663783117324678,2.720660086197313e-05,3.233659981560777e-06,0.30045899748802185,1.4367200136184692,-0.06288699805736542,0.08940169960260391,-3.956809905503178e-06,1.045650024900091e-11,2.0641698837280273,0.007992659695446491,-1.6999899798975093e-07,0.07933089882135391,41.274200439453125,41.31911849975586,0.22077499330043793,nan,1.476601238471056,27.823668698475338,3.719301165984063,nan,5.708678092118356,nan,7.590952279029295,24.623291707971386,1.1491430300311365,nan,nan,nan,nan,nan,nan,nan,nan,0.05158377533553704
22,1241,0.08978980034589767,1.5400000847876072e-05,-22.32900047302246,-0.7762479782104492,-22.327442169189453,-0.7765970230102539,1237656567586226517,0.00041455100290477276,1.2635900020541158e-05,-0.5517299771308899,0.09192279726266861,0.04297279939055443,0.026965899392962456,-2.9967699788358004e-07,1.5966500344077872e-10,0.008449790067970753,0.0007271619979292154,-2.6818699438990734e-07,-5.3326999477576464e-05,37.802799224853516,37.80634307861328,0.06301330029964447,26.023174522631457,3.517324920573333,24.678348811571922,0.22546313979617924,23.22104236883515,0.06581803745269987,23.219881153532206,0.0732335163230764,22.43022725069134,0.16249590151274176,17.842049115724627,-20.8907470703125,0.2,0.1,6.0,0.0,6.5811509345011885,521.531970663175,-0.15400891192229693
23,12860,0.12167900055646896,1.2900000001536682e-05,-36.30500030517578,1.1754100322723389,-36.305809020996094,1.1759029626846313,1237678617938821532,0.00014945000293664634,4.801369868800975e-06,-0.26356399059295654,0.20387400686740875,0.13826000690460205,0.02941739931702614,-1.750409950318499e-07,2.3053099360015317e-11,0.04156479984521866,0.0008653830154798925,-1.1313800030166021e-07,0.0003075319982599467,38.67599868774414,38.681400299072266,0.06569290161132812,24.413671244145327,0.5908732900553391,23.245719253900887,0.059248987199992074,22.530628858812673,0.05277969765906375,22.19583214227082,0.06313313124025419,21.813060487160485,0.14102182214814848,0.15820333429751743,-22.531982421875,0.2,8.0,0.0,1.0,7.664306889379948,0.04635063213824964,0.0119266206593025
24,12879,0.3649890124797821,2.2000000171829015e-05,7.449210166931152,-0.1620119959115982,7.44919490814209,-0.16197000443935394,1237657190908494162,1.8916000044555403e-05,1.9290800992166623e-06,2.8404600620269775,1.1055400371551514,0.07912939786911011,0.07863839715719223,-1.7297199974564137e-06,3.721360025688014e-12,1.2222199440002441,0.006184009835124016,-7.04959006725403e-08,0.027492700144648552,41.77579879760742,41.82597732543945,0.23282699286937714,24.11182991472551,0.43374026556149387,23.09710555402645,0.045740848416206445,22.326796522097858,0.027277242054266224,22.173246762606315,0.03346174361178744,21.73671335822077,0.07381348127793884,16.94045237615206,-23.8326416015625,-0.39,6.0,0.0,0.0,6.2065647488770495,219.61696528138873,0.45539481542304117
25,12881,0.23810899257659912,3.3299998904112726e-05,10.162400245666504,-0.07360020279884338,10.16235637664795,-0.07358299940824509,1237657190909673909,6.19390993961133e-05,3.1024399049783824e-06,1.9692399501800537,0.7506020069122314,0.09827200323343277,0.04329390078783035,-1.4037500477570575e-06,9.625140094671192e-12,0.5634040236473083,0.0018743700347840786,-8.348050073436752e-08,0.00598469004034996,40.23979949951172,40.25752639770508,0.1289149969816208,24.380551791605672,0.488446082153019,23.929671940890348,0.0837258707276231,23.141535445790375,0.04919016688986234,22.737352403388652,0.04416617118053117,22.342718199253504,0.11364401113896744,4.665272580180458,-23.0140380859375,-0.59,10.0,6.0,1.5,2.7204348540086736,0.40347562159431355,-0.03290419088423846
26,12898,0.0835810974240303,7.700000423938036e-06,26.793100357055664,-0.14688099920749664,26.793100357055664,-0.14697299897670746,1237666407917289559,0.0004567250143736601,1.3155399756215047e-05,-0.036654699593782425,0.09632810205221176,0.03733929991722107,0.025790799409151077,-2.541370065500814e-07,1.7306399369143577e-10,0.009279100224375725,0.0006651660078205168,-2.7246400691183226e-07,-7.803639891790226e-05,37.82659912109375,37.82978439331055,0.06165950000286102,22.351549595065286,0.06885283642953308,21.326606178069206,0.009215566552909657,20.719301011277015,0.006147865261985136,20.251207476581197,0.005272283757225348,20.020221383870137,0.014534364289845779,238.08821092213205,-23.5989990234375,-0.59,10.0,1.0,1.5,7.005435112548922,2.3938211669969945e+50,0.034847275300620595
27,12950,0.08273419737815857,1.049999991664663e-05,-8.333000183105469,-0.8402760028839111,-8.332547187805176,-0.8402730226516724,1237656906351444110,0.0005034049972891808,1.3800099623040296e-05,-0.30695000290870667,0.07026360183954239,-0.02578900009393692,0.0249588992446661,-8.831789699570436e-08,1.9044299470749593e-10,0.004936969839036465,0.0006229470018297434,-2.8198701329529285e-07,-9.488080104347318e-05,37.85919952392578,37.862308502197266,0.05923530086874962,21.934784912982664,0.07474541340889299,20.955503192620526,0.0073247542100548435,20.56594373099548,0.005191994559859144,20.25991006114485,0.004376375464945295,20.13414132954347,0.014694148760562652,153.22428376027136,-22.540924072265625,-0.88,8.0,7.0,1.0,3.2279740115867233,5.689326114169828e+31,0.09083230634126949
28,12977,0.24780400097370148,1.5400000847876072e-05,13.695599555969238,-0.2510260045528412,13.695610046386719,-0.2508470118045807,1237663783666516561,6.315830250969157e-05,2.2102499315224122e-06,-0.01766980066895485,0.4694580137729645,-0.04606910049915314,0.037829600274562836,-2.2250000597523467e-07,4.8852198328286356e-12,0.22039100527763367,0.0014310700353235006,-4.928070040932653e-08,-0.0004992689937353134,40.23860168457031,40.257896423339844,0.10541699826717377,24.318953019346953,0.44617546052275536,23.28875434335702,0.056481778077821815,22.660511238817467,0.03639920226679552,22.398722386371055,0.0405857236600505,22.102981326522574,0.12274171042326809,2.2049600462120913,-22.75201416015625,-0.88,10.0,7.0,1.0,2.0904035804831427,0.10036193063091017,-0.13172142377129603
29,12978,0.23120799660682678,1.9299999621580355e-05,7.17425012588501,0.14553099870681763,7.167162895202637,0.14792299270629883,1237663784200504306,0.00014663599722553045,4.668549991038162e-06,1.4169800281524658,0.21440300345420837,-0.12264800071716309,0.030082199722528458,-4.4266300847084494e-07,2.179529993984186e-11,0.04596849903464317,0.0009049410000443459,-9.981820170423816e-08,0.0008266969816759229,39.87300109863281,39.8896484375,0.0696839988231659,24.533480124938283,0.6380159525809869,26.103577209222827,0.5816207873129735,nan,0.826640064986303,25.707189087372736,0.7152208385279385,24.068500762227774,0.6512134938266674,nan,nan,nan,nan,nan,nan,nan,nan,-0.32790885886637966
30,13025,0.22435800731182098,1.5100000382517464e-05,-18.43199920654297,0.4162279963493347,-18.43268585205078,0.41589298844337463,1237663543687905672,5.831470116390847e-05,2.2678100322082173e-06,0.7900580167770386,0.3100169897079468,0.027976300567388535,0.03539840131998062,-2.720890108776075e-07,5.142949868058855e-12,0.096110500395298,0.0012530500534921885,-5.4577800057131753e-08,0.0011227199574932456,40.2692985534668,40.2849235534668,0.08534400165081024,24.561267975244302,0.4766938880239774,23.478821913474647,0.053587048097797775,22.78023345830178,0.035579633490683514,22.365989534969128,0.03269366322506831,21.930352244929917,0.08723402036273757,8.974712170260485,-23.36053466796875,-0.88,10.0,5.0,1.5,3.395843790373651,3.59778241642471,0.14169241425421575
31,13044,0.12588299810886383,2.099999983329326e-05,-27.457000732421875,0.5038830041885376,-27.457246780395508,0.5032699704170227,1237663479795287086,0.0002699189935810864,8.28340034786379e-06,-0.030353199690580368,0.14113399386405945,-0.08303440362215042,0.02729479968547821,-4.489909883886867e-07,6.861460011275966e-11,0.01991889998316765,0.0007450049743056297,-1.835490053281319e-07,0.0007452609715983272,38.77410125732422,38.779762268066406,0.05800579860806465,23.75875631208448,0.35517586469963036,24.215747170665534,0.16161888403046648,23.871139513289034,0.13870359305186622,23.714853899711624,0.16716309526883175,25.120691343919773,2.1941963436263086,8.352064050969586,-18.9268798828125,-0.88,10.0,7.0,0.0,2.851657566437419,2.257541360629956,0.03020159577968684
32,13096,0.3920060098171234,2.209999911428895e-05,-1.6299999952316284,-1.2022600173950195,-1.6297730207443237,-1.2021570205688477,1237663275779555750,2.1997799194650725e-05,1.5532200450252276e-06,0.9374539852142334,0.8086649775505066,-0.22079700231552124,0.05918329954147339,-7.788839866407216e-07,2.4124899127009325e-12,0.6539379954338074,0.0035026699770241976,-2.6379499473705437e-08,0.020123900845646858,42.134700775146484,42.196678161621094,0.16934800148010254,24.15806137811993,0.5273772560841644,24.41489166232815,0.16186610289123848,23.60688738314282,0.08909667329122055,23.306834778363587,0.09769739792670142,23.112239829323226,0.3167869236341725,1.6249274881754523,-22.99041748046875,0.2,6.0,0.0,0.0,6.035645538337089,0.1016626931190906,0.641450223978552
